Stasiun,Curah Hujan,Latitude,Longitude
FL Tobing,0,1.55312,98.89738
FL Tobing,27.2,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,57.8,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,19,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,84.8,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,19.2,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,12,1.55312,98.89738
FL Tobing,7.5,1.55312,98.89738
FL Tobing,6.4,1.55312,98.89738
FL Tobing,0.4,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,4.7,1.55312,98.89738
FL Tobing,4,1.55312,98.89738
FL Tobing,41.7,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,50,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,3.9,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,2.3,1.55312,98.89738
FL Tobing,2.6,1.55312,98.89738
FL Tobing,1.6,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,12.5,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,1,1.55312,98.89738
FL Tobing,1,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,5.4,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,1.8,1.55312,98.89738
FL Tobing,13.5,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
